Study ID,Experiment,Modality,Normalization,Segmentation,Noise removal
147,Heart Dorsal-Ventral Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Dorsal-Ventral Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Dorsal-Ventral Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Dorsal-Ventral Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Dorsal-Ventral Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Dorsal-Ventral Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Dorsal-Ventral Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Dorsal-Ventral Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Horizontal Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Horizontal Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Horizontal Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Horizontal Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Horizontal Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Horizontal Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Horizontal Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Horizontal Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Vertical Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Vertical Resilient Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Vertical Resilient Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Vertical Resilient Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Vertical Resilient Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise; removal of motion artifacts by averaging 5 consecutive data samples, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Vertical Sit,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Vertical Stand,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Heart Vertical Walk,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
147,Left Carotid Dorsal-Ventral Post-Exercise,SCG,"normalised, no further details",1-second windows centered on each detected heartbeat peak,"Savitzky-Golay filter for low frequency noise, sixth-order Butterworth lowpass filter for high-frequency noise, common average referencing (CAR), data smoothing via interpolation with spline cubic curves at 750Hz"
