imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,58,0,1.0083745314695987,"z_1[1,20]",0,0,739.1451596775269,"r_id[495,Intercept]",0,559.6106255584494,"r_id[495,Intercept]",0,0,0,0.6386215909011818,0,TRUE
2,4,12000,58,0,1.006891936179776,"r_id[495,Intercept]",0,0,516.8663920152125,"r_id[495,Intercept]",0,454.99772422880704,"r_id[495,Intercept]",0,0,0,0.6341476522651434,0,TRUE
3,4,12000,58,0,1.0057803486650416,"r_id[495,Intercept]",0,0,812.2889002629765,"r_id[495,Intercept]",0,865.1113628564043,"r_id[495,Intercept]",0,0,0,0.6057928862078245,0,TRUE
4,4,12000,58,0,1.0207198265238315,"r_id[495,Intercept]",2,0,503.4531813398472,"r_id[495,Intercept]",0,334.36610335522954,"r_id[495,Intercept]",2,0,0,0.6198943067492216,0,FALSE
5,4,12000,58,0,1.0053702147014199,"r_id[495,Intercept]",0,0,854.4571131315201,"r_id[495,Intercept]",0,617.0820247453512,"r_id[495,Intercept]",0,0,0,0.6082377356259577,0,TRUE
6,4,12000,58,0,1.0075877442965602,"r_id[495,Intercept]",0,0,1035.8054796182012,"r_id[495,Intercept]",0,1366.6630194119402,"r_id[495,Intercept]",0,0,0,0.6117398302656726,0,TRUE
7,4,12000,58,0,1.0077433305159753,"r_id[495,Intercept]",0,0,440.83404543090626,"r_id[495,Intercept]",0,224.60162881083988,"r_id[495,Intercept]",2,0,0,0.6022635100128644,0,FALSE
8,4,12000,58,0,1.015726331005763,"r_id[495,Intercept]",2,0,224.3366471251003,"r_id[495,Intercept]",2,604.3618340999592,"r_id[495,Intercept]",0,0,0,0.5640326669605122,0,FALSE
9,4,12000,58,0,1.0057829719596552,"r_id[495,Intercept]",0,0,796.3501572769422,"r_id[495,Intercept]",0,516.8170456264559,"r_id[495,Intercept]",0,0,0,0.6464718356703257,0,TRUE
10,4,12000,58,0,1.0058274970365664,"r_id[495,Intercept]",0,0,1078.3955653827786,"r_id[495,Intercept]",0,1785.611818423433,"r_id[495,Intercept]",0,0,0,0.6288534873453951,0,TRUE
11,4,12000,58,0,1.0080932926725634,"r_id[495,Intercept]",0,0,750.0403448313014,"z_1[1,20]",0,584.2859600819609,"r_id[495,Intercept]",0,0,0,0.6216980735184273,0,TRUE
12,4,12000,58,0,1.0200887907739886,"z_1[1,20]",2,0,509.40471557937843,"z_1[1,20]",0,199.24563305715662,"z_1[1,20]",2,0,0,0.6194066539758968,0,FALSE
13,4,12000,58,0,1.0067416779604947,"r_id[495,Intercept]",0,0,430.73330145633537,"r_id[495,Intercept]",0,139.23953903398157,"r_id[495,Intercept]",2,0,0,0.6258125765258368,0,FALSE
14,4,12000,58,0,1.0082545835478538,"r_id[495,Intercept]",0,0,698.2708835995293,"r_id[495,Intercept]",0,741.1524106137338,"r_id[495,Intercept]",0,0,0,0.6578707612721415,0,TRUE
15,4,12000,58,0,1.0073881120216308,"z_1[1,20]",0,0,871.9055700439108,"r_id[495,Intercept]",0,698.8523318552861,"r_id[495,Intercept]",0,0,0,0.6057136899626903,0,TRUE
16,4,12000,58,0,1.0023576053379333,"z_1[1,20]",0,0,1023.5102845301499,"r_id[495,Intercept]",0,778.2649669940246,"r_id[495,Intercept]",0,0,0,0.6799441621957268,0,TRUE
17,4,12000,58,0,1.006985924602358,"z_1[1,20]",0,0,673.9551603763471,"r_id[495,Intercept]",0,493.1111118235995,"r_id[495,Intercept]",0,0,0,0.6368630994341545,0,TRUE
18,4,12000,58,0,1.0067545113807754,"r_id[495,Intercept]",0,0,797.230493130225,"r_id[495,Intercept]",0,292.66319743705577,"r_id[495,Intercept]",2,0,0,0.6471380552385716,0,FALSE
19,4,12000,58,0,1.0061030184003672,"r_id[495,Intercept]",0,0,532.0690459612152,"r_id[495,Intercept]",0,573.6498245229191,"z_1[1,20]",0,0,0,0.6284844446964101,0,TRUE
20,4,12000,58,0,1.0064986130943216,"r_id[495,Intercept]",0,0,514.8315011064119,"r_id[495,Intercept]",0,619.1974627447327,"r_id[495,Intercept]",0,0,0,0.601153369553535,0,TRUE
