imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,12000,59,0,1.0116645948774723,"r_id[495,Intercept]",1,0,340.62714254360094,"r_id[495,Intercept]",1,120.6990841325604,"r_id[495,Intercept]",2,0,0,0.5954440430355369,0,FALSE
2,4,12000,59,0,1.013764297839379,"r_id[495,Intercept]",2,0,355.31624362101235,"z_1[1,20]",2,92.69330496003468,"r_id[495,Intercept]",2,0,0,0.6410822105081939,0,FALSE
3,4,12000,59,0,1.0048920771406082,"z_1[1,20]",0,0,1155.2731124090947,"r_id[495,Intercept]",0,359.0647409587005,"r_id[495,Intercept]",2,0,0,0.6205623957711012,0,FALSE
4,4,12000,59,0,1.0230772871403138,"r_id[495,Intercept]",2,0,187.60511681737916,"r_id[495,Intercept]",2,119.39457447076414,"r_id[495,Intercept]",2,0,0,0.6005831563405967,0,FALSE
5,4,12000,59,0,1.0086247104084072,"r_id[495,Intercept]",0,0,404.42261335799964,"r_id[495,Intercept]",0,212.93964054619565,"r_id[495,Intercept]",2,0,0,0.6074434445107689,0,FALSE
6,4,12000,59,0,1.0189943297061659,"r_id[495,Intercept]",2,0,525.8476262667738,"z_1[1,20]",0,116.25468529444707,"z_1[1,20]",2,0,0,0.6240272721582315,0,FALSE
7,4,12000,59,0,1.0050882253262874,"r_id[495,Intercept]",0,0,699.1637999373814,"r_id[495,Intercept]",0,222.52353364780927,"r_id[495,Intercept]",2,0,0,0.5919800371886431,0,FALSE
8,4,12000,59,0,1.008022992871149,"r_id[495,Intercept]",0,0,409.3697843350107,"r_id[495,Intercept]",0,117.5810663111617,"r_id[495,Intercept]",2,0,0,0.6354549371689945,0,FALSE
9,4,12000,59,0,1.0092974660581144,"z_1[1,20]",0,0,553.4102706979073,"r_id[495,Intercept]",0,180.51185492411776,"r_id[495,Intercept]",2,0,0,0.6605291922373889,0,FALSE
10,4,12000,59,0,1.0044530827026799,"r_id[495,Intercept]",0,0,710.6576711542577,"r_id[495,Intercept]",0,209.76923131141317,"r_id[495,Intercept]",2,0,0,0.6104949553280073,0,FALSE
11,4,12000,59,0,1.0135122033871546,"z_1[1,20]",2,0,273.03953068273955,"r_id[495,Intercept]",2,191.74909032140394,"z_1[1,20]",2,0,0,0.6006465318422496,0,FALSE
12,4,12000,59,0,1.0067584790484096,"r_id[495,Intercept]",0,0,378.09897231926175,"r_id[495,Intercept]",1,111.75906983267326,"z_1[1,20]",2,0,0,0.6204371356157463,0,FALSE
13,4,12000,59,0,1.0117171394170046,"r_id[495,Intercept]",1,0,549.7345830470912,"r_id[495,Intercept]",0,188.1128600054569,"z_1[1,20]",2,0,0,0.6270726578616725,0,FALSE
14,4,12000,59,0,1.010865751413253,"z_1[1,20]",2,0,571.6588407086923,"z_1[1,20]",0,128.8418731766379,"r_id[495,Intercept]",2,0,0,0.6484033833512549,0,FALSE
15,4,12000,59,0,1.005738279105465,"z_1[1,20]",0,0,501.847728242973,"r_id[495,Intercept]",0,158.5197854618595,"r_id[495,Intercept]",2,0,0,0.6287074751983232,0,FALSE
16,4,12000,59,0,1.008621446914741,"r_id[495,Intercept]",0,0,554.4829805893372,"r_id[495,Intercept]",0,236.04165422453062,"z_1[1,20]",2,0,0,0.6094090544961458,0,FALSE
17,4,12000,59,0,1.0052182944978154,"r_id[495,Intercept]",0,0,601.0617405493274,"r_id[495,Intercept]",0,427.62435020593244,"z_1[1,20]",0,0,0,0.6217759634831261,0,TRUE
18,4,12000,59,0,1.0062396100690776,"z_1[1,20]",0,0,429.21233333422697,"r_id[495,Intercept]",0,183.72971096932966,"z_1[1,20]",2,0,0,0.6649697287691692,0,FALSE
19,4,12000,59,0,1.0165119192723864,"r_id[495,Intercept]",2,0,448.8291568381768,"r_id[495,Intercept]",0,110.75319869934681,"r_id[495,Intercept]",2,0,0,0.5816154382306328,0,FALSE
20,4,12000,59,0,1.0223870523567453,"r_id[495,Intercept]",2,0,159.44018677664593,"z_1[1,20]",2,32.52785436388205,"r_id[495,Intercept]",2,0,0,0.6278948461270027,0,FALSE
