imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,58,0,1.0023804858434417,"z_1[1,20]",0,0,1506.5282027337714,"r_id[495,Intercept]",0,631.0488313881064,"r_id[495,Intercept]",0,0,0,0.6513191636691702,0,TRUE
2,4,20000,58,0,1.0035838497531733,"r_id[495,Intercept]",0,0,1303.3909863869608,"r_id[495,Intercept]",0,473.78487405461317,"r_id[495,Intercept]",0,0,0,0.6410126784838437,0,TRUE
3,4,20000,58,0,1.0072504726710167,"r_id[495,Intercept]",0,0,685.2427918571435,"r_id[495,Intercept]",0,162.8833336076227,"r_id[495,Intercept]",2,0,0,0.6397943110578186,0,FALSE
4,4,20000,58,0,1.0029842985006137,"z_1[1,20]",0,0,620.0143162155488,"r_id[495,Intercept]",0,321.66033864317734,"z_1[1,20]",2,0,0,0.6392961003704347,0,FALSE
5,4,20000,58,0,1.005043324670203,"r_id[495,Intercept]",0,0,1041.2809134616684,"r_id[495,Intercept]",0,426.2642804226114,"r_id[495,Intercept]",0,0,0,0.6481165469240127,0,TRUE
6,4,20000,58,0,1.0044040273493957,"r_id[495,Intercept]",0,0,1339.8176634606268,"r_id[495,Intercept]",0,532.5093374167435,"r_id[495,Intercept]",0,0,0,0.646646960404971,0,TRUE
7,4,20000,58,0,1.0174711903813047,"r_id[495,Intercept]",2,0,444.88471927800003,"r_id[495,Intercept]",0,263.6949725983364,"z_1[1,20]",2,0,0,0.606050804830762,0,FALSE
8,4,20000,58,0,1.0109132390920266,"r_id[495,Intercept]",1,0,475.59723668306646,"r_id[495,Intercept]",0,153.55417687101485,"r_id[495,Intercept]",2,0,0,0.593309619768574,0,FALSE
9,4,20000,58,0,1.003575822494076,"r_id[495,Intercept]",0,0,1095.0719648763024,"r_id[495,Intercept]",0,421.1420311945489,"r_id[495,Intercept]",0,0,0,0.682286674023496,0,TRUE
10,4,20000,58,0,1.0029054087472538,"r_id[495,Intercept]",0,0,1076.2569793446594,"r_id[495,Intercept]",0,376.6812254178201,"r_id[495,Intercept]",2,0,0,0.6461343442901168,0,FALSE
11,4,20000,58,0,1.0026986887804379,"r_id[495,Intercept]",0,0,852.2972203474267,"r_id[495,Intercept]",0,273.35234272951095,"r_id[495,Intercept]",2,0,0,0.6393935491137539,0,FALSE
12,4,20000,58,0,1.0152438129139096,"r_id[495,Intercept]",2,0,595.7293352763703,"r_id[495,Intercept]",0,258.67981895995285,"z_1[1,20]",2,0,0,0.6260093978971839,0,FALSE
13,4,20000,58,0,1.0085089982544582,"r_id[495,Intercept]",0,0,605.7527395617049,"r_id[495,Intercept]",0,192.9077469813398,"r_id[495,Intercept]",2,0,0,0.6201581203119934,0,FALSE
14,4,20000,58,0,1.0057633957440069,"r_id[495,Intercept]",0,0,820.0943633744841,"r_id[495,Intercept]",0,221.83028246740946,"r_id[495,Intercept]",2,0,0,0.6386254866530947,0,FALSE
15,4,20000,58,0,1.0060694035087145,"z_1[1,20]",0,0,719.2859335323867,"r_id[495,Intercept]",0,189.6047019216777,"r_id[495,Intercept]",2,0,0,0.6147368917605206,0,FALSE
16,4,20000,58,0,1.01277475887924,"z_1[1,20]",2,0,612.6901131534523,"r_id[495,Intercept]",0,346.08969353892394,"z_1[1,20]",2,0,0,0.5964727390357485,0,FALSE
17,4,20000,58,0,1.0068730096833254,"r_id[495,Intercept]",0,0,641.8237107182442,"r_id[495,Intercept]",0,183.5149017793399,"r_id[495,Intercept]",2,0,0,0.6457560071383626,0,FALSE
18,4,20000,58,0,1.0164306518149588,"z_1[1,20]",2,0,375.13972641165077,"r_id[495,Intercept]",2,99.03613047928872,"r_id[495,Intercept]",2,0,0,0.5990609694228733,0,FALSE
19,4,20000,58,0,1.010344710121729,"r_id[495,Intercept]",2,0,703.3910382429525,"r_id[495,Intercept]",0,224.24834853002463,"r_id[495,Intercept]",2,0,0,0.6201396140351916,0,FALSE
20,4,20000,58,0,1.0031620239653563,"r_id[495,Intercept]",0,0,1178.482896227898,"r_id[495,Intercept]",0,442.77503025918304,"r_id[495,Intercept]",0,0,0,0.678155512426585,0,TRUE
