id,experience,modality,noise reduction,segmentation,normalization,filteringyn,segmentation_type,normalizationyn
28,NA,PPG,none,none,batch normalization in source data set,no,none,yes
36,Hexoskin M50 NB,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin M40 NB,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin M30 NB,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin E50 NB,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin E40 NB,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin E30 NB,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin M50 DT,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin M40 DT,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin M30 DT,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin E50 DT,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
36,Hexoskin E40 DT,ECG,"Downsampled to 200 Hz. third order band‐pass filter (0.5-45 Hz), mean filter for signal smoothing.",4‐s time windows and a 1‐s delay between windows,not described,yes,window,no
