imputation,n_chains,post_warmup_draws,n_parameters,n_constant_parameters,max_rhat,worst_rhat_parameter,n_rhat_over_threshold,n_rhat_missing,min_bulk_ess,lowest_bulk_ess_parameter,n_bulk_ess_below_threshold,min_tail_ess,lowest_tail_ess_parameter,n_tail_ess_below_threshold,divergences,max_treedepth_hits,min_ebfmi,n_chains_low_ebfmi,converged
1,4,20000,59,0,1.0043906007705448,"r_id[382,Intercept]",0,0,605.4960727974395,"r_id[382,Intercept]",0,1235.3683940153937,"r_id[495,Intercept]",0,0,0,0.6152881580830984,0,TRUE
2,4,20000,59,0,1.0036589212107137,"r_id[495,Intercept]",0,0,718.4666177451234,"r_id[382,Intercept]",0,1010.3968609443751,"r_id[495,Intercept]",0,0,0,0.6424564520174132,0,TRUE
3,4,20000,59,0,1.007401688760085,"r_id[382,Intercept]",0,0,635.6181706078294,"r_id[382,Intercept]",0,1349.2741462057147,"r_id[495,Intercept]",0,0,0,0.6501226746974528,0,TRUE
4,4,20000,59,0,1.0022147571761546,"r_id[382,Intercept]",0,0,595.018704093882,"r_id[382,Intercept]",0,969.6682853447147,"r_id[495,Intercept]",0,0,0,0.6346935095528594,0,TRUE
5,4,20000,59,0,1.0031604350979613,"r_id[495,Intercept]",0,0,701.9620762811954,"r_id[382,Intercept]",0,1865.0438491492519,"r_id[495,Intercept]",0,0,0,0.6478463680615537,0,TRUE
6,4,20000,59,0,1.0202565203058191,"r_id[382,Intercept]",2,0,450.9926187000995,"r_id[382,Intercept]",0,959.8173447098912,"r_id[495,Intercept]",0,0,0,0.5844513346190888,0,FALSE
7,4,20000,59,0,1.0079501440340504,"r_id[382,Intercept]",0,0,741.6687531140211,"r_id[382,Intercept]",0,1383.8441196309127,"r_id[495,Intercept]",0,0,0,0.6535111341091269,0,TRUE
8,4,20000,59,0,1.004130578670046,"r_id[382,Intercept]",0,0,605.9273549187554,"r_id[382,Intercept]",0,2239.0993124864517,"z_1[1,12]",0,0,0,0.6746277945747234,0,TRUE
9,4,20000,59,0,1.017933066535832,"r_id[382,Intercept]",2,0,446.90003079712676,"r_id[382,Intercept]",0,524.5686807139391,"r_id[495,Intercept]",0,0,0,0.6534150806987356,0,FALSE
10,4,20000,59,0,1.0054669619228338,"r_id[382,Intercept]",0,0,557.9257387222258,"r_id[382,Intercept]",0,743.7356714322301,"r_id[495,Intercept]",0,0,0,0.6176735447697084,0,TRUE
11,4,20000,59,0,1.0056623311917254,"r_id[382,Intercept]",0,0,585.4843269418848,"r_id[382,Intercept]",0,592.0042337758275,"r_id[495,Intercept]",0,0,0,0.6519674182277703,0,TRUE
12,4,20000,59,0,1.0059192684212435,"z_1[1,12]",0,0,729.1108654696222,"r_id[382,Intercept]",0,532.1550697113512,"r_id[495,Intercept]",0,0,0,0.6364037496460903,0,TRUE
13,4,20000,59,0,1.0025068791012417,"r_id[495,Intercept]",0,0,608.1973213366583,"r_id[382,Intercept]",0,1275.9505736237131,"r_id[495,Intercept]",0,0,0,0.6639900334170575,0,TRUE
14,4,20000,59,0,1.0102491460564178,"r_id[382,Intercept]",1,0,481.4905490265839,"r_id[382,Intercept]",0,546.1275972159921,"r_id[495,Intercept]",0,0,0,0.6453550460806776,0,FALSE
15,4,20000,59,0,1.006259571895285,"z_1[1,12]",0,0,488.4355914787165,"r_id[382,Intercept]",0,463.7036970168618,"r_id[495,Intercept]",0,0,0,0.6369872657350234,0,TRUE
16,4,20000,59,0,1.007768638960799,"r_id[382,Intercept]",0,0,630.8754362003506,"r_id[382,Intercept]",0,280.347225020171,"r_id[495,Intercept]",2,0,0,0.6394003891958238,0,FALSE
17,4,20000,59,0,1.0151845011878335,"r_id[382,Intercept]",2,0,470.05851652620333,"r_id[382,Intercept]",0,697.1560960425552,"r_id[495,Intercept]",0,0,0,0.6527478252469224,0,FALSE
18,4,20000,59,0,1.003139118046175,b_sigma_multimodal,0,0,620.957096191977,"r_id[382,Intercept]",0,662.0336797917386,"r_id[495,Intercept]",0,0,0,0.6705826769133229,0,TRUE
19,4,20000,59,0,1.007649578035295,"r_id[382,Intercept]",0,0,592.3217976342626,"r_id[382,Intercept]",0,395.4492018352626,"r_id[495,Intercept]",1,0,0,0.6712344908882856,0,FALSE
20,4,20000,59,0,1.006884684641549,"r_id[382,Intercept]",0,0,584.7282520457248,"r_id[382,Intercept]",0,1930.4258488940554,"z_1[1,12]",0,0,0,0.6749233577471521,0,TRUE
